,objective,timestamp_end
0,-5.474054932,238.4250325533652
1,-4.388197614,318.9202372770213
2,-4.322181325,394.27305541425676
3,-5.341887381,603.1796802474906
4,-5.212870809,786.8001217227313
5,-5.185056138,965.3835965502715
6,-4.851663754,1093.3366918765996
7,-5.055438728,1250.210031852009
8,-5.592167559,1518.5266137252042
9,-4.912602845,1654.5195363692583
10,-3.797322695,1699.1012022231268
11,-4.471859389,1786.6205064704527
12,-4.675740432,1893.9325013884375
13,-4.204458308,1960.9168043643103
14,-4.619139322,2062.323520394184
15,-4.247983877,2132.2877339914667
16,-4.42673972,2215.9459565688126
17,-4.060436074,2273.9455542505157
18,-4.19787226,2340.4901449641884
19,-4.319615597,2415.6498760763675
20,-4.420984492,2498.8280093455724
21,-3.824998756,2544.660752695938
22,-3.89257287,2593.697642597928
23,-4.512727254,2684.8677664436304
24,-4.096082031,2744.9721051867105
25,-4.323043842,2820.3899444474687
26,-4.179357978,2885.713844814433
27,-4.236833071,2954.902234608153
28,-4.733878947,3068.6381178771576
29,-4.222581898,3136.8474846411964
30,-4.537010566,3230.2586205244675
31,-4.175266448,3295.315792229624
32,-4.444551741,3380.477487013495
33,-4.362571209,3458.9360957902604
34,-4.257950909,3529.601131700801
